*Aici este salvata activitatea suspecta a fiecarui jucator.


L  13:11:32 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:14:21 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:14:35 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:56:14 |deathrun_skyzzar| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:01:02 |deathrun_skyzzar| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:24:47 |deathrun_c00l_f| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  14:39:20 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:09:35 |deathrun_clarion_dojo_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:18:07 |deathrun_mici_f| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:32:29 |deathrun_mici_f| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:37:17 |deathrun_mici_f| *ROM-Protect : L-am detectat pe "Scooby69" [ VALVE_0:4:2076099306 | 109.103.33.94 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
