L 12/30/2016 - 00:35:07: Log file started (file "cstrike/addons/amxmodx/logs/TNI_30.12.2016.log") (game "cstrike") (amx "1.8.3-dev+5072")
L 12/30/2016 - 16:32:50: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:218116792 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:50: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:218116792 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:17: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:624629796 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:17: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:624629796 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:17: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:624629796 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:17: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:624629796 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:17: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:624629796 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:17: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:624629796 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:48: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1852945476 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:48: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1852945476 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:48: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1852945476 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:48: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1852945476 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:48: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1852945476 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:48: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1852945476 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:55: [TNI Systems] [ Name: sd #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:288618976 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:55: [TNI Systems] [ Name: sd #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:288618976 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
